Index,Open,High,Low,Close,Volume,Adjusted
2010-01-04,131.179993,132.970001,130.850006,132.449997,6155300,116.56461
2010-01-05,131.679993,131.850006,130.100006,130.850006,6841400,115.156514
2010-01-06,130.679993,131.490005,129.809998,130,5605300,114.408453
2010-01-07,129.869995,130.25,128.910004,129.550003,5840600,114.012427
2010-01-08,129.070007,130.919998,129.050003,130.850006,4197200,115.156514
2010-01-11,131.059998,131.059998,128.669998,129.479996,5730400,113.950816
2010-01-12,129.029999,131.330002,129,130.509995,8081500,114.857281
2010-01-13,130.389999,131.119995,129.160004,130.229996,6455400,114.610864
2010-01-14,130.550003,132.710007,129.910004,132.309998,7111800,116.441401
2010-01-15,132.029999,132.889999,131.089996,131.779999,8494400,115.974968
2010-01-19,131.630005,134.25,131.559998,134.139999,13916200,118.051922
2010-01-20,130.460007,131.149994,128.949997,130.25,15197500,114.628469
2010-01-21,130.470001,130.690002,128.059998,129,9608600,113.528388
2010-01-22,128.669998,128.889999,125.370003,125.5,10088600,110.44816
2010-01-25,126.330002,126.889999,125.709999,126.120003,5738500,110.993803
2010-01-26,125.919998,127.75,125.410004,125.75,7135300,110.668177
2010-01-27,125.82,126.959999,125.040001,126.330002,8719200,111.178616
2010-01-28,127.029999,127.040001,123.050003,123.75,9622200,108.908047
2010-01-29,124.32,125,121.900002,122.389999,11571200,107.711158
2010-02-01,123.230003,124.949997,122.779999,124.669998,7242900,109.717705
2010-02-02,124.790001,125.809998,123.949997,125.529999,5899900,110.474561
2010-02-03,125.160004,126.07,125.07,125.660004,4177100,110.588974
2010-02-04,125.190002,125.440002,122.900002,123,9126900,108.247998
2010-02-05,123.040001,123.720001,121.830002,123.519997,8617000,108.705629
2010-02-08,123.150002,123.220001,121.739998,121.879997,5718500,107.742071
2010-02-09,122.650002,124.199997,122.459999,123.209999,6044500,108.917794
2010-02-10,122.940002,123.650002,122.209999,122.809998,5219100,108.564192
2010-02-11,122.580002,124.199997,122.059998,123.730003,5089000,109.377478
2010-02-12,123.010002,124.050003,121.610001,124,8017700,109.616156
2010-02-16,124.910004,125.230003,124.110001,125.230003,6777300,110.70348
2010-02-17,125.5,126.529999,125.209999,126.330002,5827400,111.67588
2010-02-18,126.129997,128,126,127.809998,5525900,112.984198
2010-02-19,127.349998,128.059998,126.870003,127.190002,6303100,112.436122
2010-02-22,127.300003,127.43,126.309998,126.849998,3808100,112.135558
2010-02-23,126.480003,127.660004,126,126.459999,4591900,111.790798
